year,T601_total_tax_workers,T602_social_insurance,T603_income_tax_workers,T604_indirect_tax_workers,T605_benefits,T606_govt_services,T607_nsw,T608_nsw_v_star_ratio,T609_nsw_ni_share
1952,53208.3,6923.0,22784.9,23500.4,10994.0,32694.9,-9519.4,-0.004825,-0.033702
1953,56499.6,7106.0,23912.2,25481.4,11674.0,35576.5,-9249.1,-0.004370,-0.030910
1954,54749.7,8074.0,21369.9,25305.8,13747.0,34159.1,-6843.6,-0.003054,-0.022644
1955,60069.4,9091.0,23372.3,27606.2,14754.0,35478.6,-9836.9,-0.004266,-0.030346
1956,66462.3,9987.0,26217.7,30257.6,15592.0,37324.9,-13545.4,-0.005505,-0.038934
1957,71592.3,11413.0,27747.3,32432.0,18132.0,40373.9,-13086.4,-0.004712,-0.035562
1958,71533.4,11384.0,26922.9,33226.6,22226.0,42242.9,-7064.5,-0.002323,-0.018642
1959,80369.7,13834.0,30003.7,36532.0,22917.0,43899.2,-13553.5,-0.004068,-0.033643
1960,89235.6,16444.0,32879.1,39912.5,24428.0,45767.1,-19040.5,-0.005324,-0.045105
1961,92179.3,17005.0,33291.5,41882.8,28089.0,48085.2,-16005.1,-0.004151,-0.036328
1962,100825.1,19117.0,36530.1,45178.0,28843.0,52492.6,-19489.5,-0.004897,-0.041570
1963,108545.4,21669.0,38791.5,48084.9,30341.0,55659.1,-22545.3,-0.005421,-0.045752
1964,111058.8,22387.0,37063.4,51608.4,31317.0,59163.0,-20578.8,-0.004835,-0.038961
1965,119105.6,23416.0,40966.4,54723.2,33913.0,63648.5,-21544.0,-0.004964,-0.037753
1966,137451.7,31336.0,48070.9,58044.9,37504.0,73348.8,-26599.0,-0.005762,-0.042878
1967,150318.2,34867.0,52802.6,62648.6,45752.0,82594.3,-21971.9,-0.004447,-0.033005
1968,172290.9,38695.0,63165.3,70430.6,53306.0,92614.1,-26370.8,-0.004978,-0.036079
1969,198062.8,44127.0,76317.2,77618.7,58973.0,101690.5,-37399.3,-0.006543,-0.046729
1970,204839.5,46359.0,74271.7,84208.7,71737.0,109420.5,-23682.0,-0.003998,-0.027377
1971,215548.2,51176.0,72506.9,91865.3,85412.0,118548.7,-11587.5,-0.001829,-0.012422
1972,246128.0,59204.0,88263.4,98660.5,94808.0,128911.6,-22408.4,-0.003391,-0.021873
1973,276505.9,75496.0,94325.7,106684.1,108628.0,137714.3,-30163.6,-0.004631,-0.026441
1974,305358.2,85181.0,107114.2,113063.0,128556.0,153129.9,-23672.3,-0.003571,-0.018910
1975,311688.1,89310.0,102102.3,120275.8,163134.0,168207.4,19653.3,0.002935,0.014352
1976,353054.4,101334.0,120466.8,131253.6,177643.0,180339.6,4928.2,0.000708,0.003280
1977,395913.6,113094.0,139035.2,143784.3,189482.0,197238.2,-9193.3,-0.001265,-0.005541
1978,446130.4,131260.0,162252.7,152617.7,203427.0,215559.3,-27144.1,-0.003526,-0.014564
1979,503428.7,152749.0,190735.5,159944.2,227334.0,236313.2,-39781.5,-0.004814,-0.019101
1980,549442.4,166188.0,209030.4,174224.0,271498.0,259481.2,-18463.2,-0.002098,-0.007943
1981,634601.0,195701.0,238099.0,200801.0,307809.0,284811.6,-41980.3,-0.004694,-0.016126
1982,655781.4,208894.0,240735.6,206151.9,343079.0,306176.6,-6525.8,-0.000720,-0.002339
1983,687764.5,225953.0,238173.3,223638.2,370499.0,326257.4,8991.9,0.000987,0.003016
1984,757201.4,257470.0,254635.6,245095.8,380909.0,347839.9,-28452.6,-0.003120,-0.008652
1985,827060.1,281370.0,283135.2,262554.9,403112.0,381175.7,-42772.5,-0.004644,-0.012141
1986,880108.5,303438.0,298277.4,278393.1,428607.0,410197.7,-41303.8,-0.004328,-0.011070
1987,963756.1,323113.0,337704.5,302938.6,447913.0,439218.0,-76625.1,-0.007789,-0.019414
1988,1036132.8,361482.0,348480.0,326170.8,476864.0,464976.5,-94292.2,-0.009037,-0.022031
1989,1116889.8,385231.0,385729.7,345929.1,521070.0,494803.5,-101016.3,-0.009177,-0.021860
